run	ls	alcatracks	mode	mode_flag	mode_text
278323	163	9083	DECO	GOOD	from_both_DB_and_S/N
282078	24	1173	DECO	GOOD	from_both_DB_and_S/N
273207	41	349	DECO	GOOD	from_both_DB_and_S/N
282079	1641	84086	DECO	GOOD	from_both_DB_and_S/N
282080	445	21080	DECO	GOOD	from_both_DB_and_S/N
277323	39	2055	DECO	GOOD	from_both_DB_and_S/N
283471	103	4736	DECO	GOOD	from_both_DB_and_S/N
273246	5	24	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
273247	165	1569	DECO	GOOD	from_both_DB_and_S/N
277345	61	408	DECO	GOOD	from_both_DB_and_S/N
277354	38	4	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
277357	29	1295	DECO	GOOD	from_both_DB_and_S/N
277358	28	1316	DECO	GOOD	from_both_DB_and_S/N
277359	29	1220	DECO	GOOD	from_both_DB_and_S/N
273264	70	1691	DECO	GOOD	from_both_DB_and_S/N
273266	35	841	DECO	GOOD	from_both_DB_and_S/N
278336	68	3727	DECO	GOOD	from_both_DB_and_S/N
275339	143	8094	DECO	GOOD	from_both_DB_and_S/N
279905	52	2959	DECO	GOOD	from_both_DB_and_S/N
276018	8	15	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
275349	107	6247	DECO	GOOD	from_both_DB_and_S/N
273303	322	19438	DECO	GOOD	from_both_DB_and_S/N
273304	152	9198	DECO	GOOD	from_both_DB_and_S/N
275355	22	1059	DECO	GOOD	from_both_DB_and_S/N
275358	35	1845	DECO	GOOD	from_both_DB_and_S/N
272197	5	209	DECO	GOOD	from_both_DB_and_S/N
273312	19	1118	DECO	GOOD	from_both_DB_and_S/N
275361	9	363	DECO	GOOD	from_both_DB_and_S/N
277421	34	1807	DECO	GOOD	from_both_DB_and_S/N
277422	306	16556	DECO	GOOD	from_both_DB_and_S/N
282781	75	3440	DECO	GOOD	from_both_DB_and_S/N
281075	167	8777	DECO	GOOD	from_both_DB_and_S/N
273332	35	1840	DECO	GOOD	from_both_DB_and_S/N
275951	9	461	DECO	GOOD	from_both_DB_and_S/N
273336	32	1763	DECO	GOOD	from_both_DB_and_S/N
273338	204	10037	DECO	GOOD	from_both_DB_and_S/N
279491	18	961	DECO	GOOD	from_both_DB_and_S/N
279492	7	342	DECO	GOOD	from_both_DB_and_S/N
279493	22	1170	DECO	GOOD	from_both_DB_and_S/N
279494	130	6983	DECO	GOOD	from_both_DB_and_S/N
275952	39	1989	DECO	GOOD	from_both_DB_and_S/N
275414	32	1838	DECO	GOOD	from_both_DB_and_S/N
278692	52	1591	DECO	GOOD	from_both_DB_and_S/N
275418	30	1658	DECO	GOOD	from_both_DB_and_S/N
275419	46	387	DECO	GOOD	from_both_DB_and_S/N
266405	109	446	DECO	GOOD	from_both_DB_and_S/N
281767	128	4770	DECO	GOOD	from_both_DB_and_S/N
273399	150	774	DECO	GOOD	from_both_DB_and_S/N
278699	100	5306	DECO	GOOD	from_both_DB_and_S/N
275463	2	35	DECO	GOOD	from_both_DB_and_S/N
275464	11	555	DECO	GOOD	from_both_DB_and_S/N
275465	16	874	DECO	GOOD	from_both_DB_and_S/N
275466	18	913	DECO	GOOD	from_both_DB_and_S/N
281614	37	1623	DECO	GOOD	from_both_DB_and_S/N
275474	1125	61827	DECO	GOOD	from_both_DB_and_S/N
278019	3	92	DECO	GOOD	from_both_DB_and_S/N
281621	31	88	DECO	GOOD	from_both_DB_and_S/N
275479	823	27199	DECO	GOOD	from_both_DB_and_S/N
275480	9	400	DECO	GOOD	from_both_DB_and_S/N
278020	16	785	DECO	GOOD	from_both_DB_and_S/N
279591	54	2981	DECO	GOOD	from_both_DB_and_S/N
279592	2	17	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
279593	48	2647	DECO	GOOD	from_both_DB_and_S/N
279594	68	3434	DECO	GOOD	from_both_DB_and_S/N
273451	27	1268	DECO	GOOD	from_both_DB_and_S/N
279596	4	120	DECO	GOOD	from_both_DB_and_S/N
275503	12	656	DECO	GOOD	from_both_DB_and_S/N
275505	3	129	DECO	GOOD	from_both_DB_and_S/N
275509	86	5022	DECO	GOOD	from_both_DB_and_S/N
